"","Sample_code","Cluster_response_cat"
"1","FL1_PB1","Medium_Responder"
"2","FL1_LN1_1","Medium_Responder"
"3","FL1_LN1_2","Medium_Responder"
"4","FL1_LN2","Low_Responder"
"5","FL3_LN1","Medium_Responder"
"6","FL4_LN1","Medium_Responder"
"7","FL5_PB1_1","Low_Responder"
"8","FL5_PB1_2","Medium_Responder"
"9","FL5_PB1_3","Medium_Responder"
"10","FL6_PB1_1","High_Responder"
"11","FL6_PB1_2","High_Responder"
"12","FL7_LN1","High_Responder"
"13","FL8_LN1","Low_Responder"
"14","FL10_LN2","Low_Responder"
"15","FL11_PB1","Low_Responder"
"16","FL11_LN1","Low_Responder"
"17","FL13_PB1","Low_Responder"
"18","FL14_LN1","Medium_Responder"
"19","FL15_PB1","Low_Responder"
"20","FL16_PB1_1","Low_Responder"
"21","FL16_PB1_2","Medium_Responder"
"22","FL17_LN1","Low_Responder"
"23","FL18_LN1","Low_Responder"
"24","FL19_LN1","Low_Responder"
"25","tFL1_LN1","High_Responder"
"26","tFL2_LN1","Medium_Responder"
"27","tFL4_PB1","Medium_Responder"
"28","tFL5_PB1","High_Responder"
"29","tFL7_PB1","Low_Responder"
"30","DLBCL5_PB1","Low_Responder"
"31","DLBCL6_LN1","High_Responder"
