"A","B","C","E","F","G","Treatment_type","Treatment_Cat"
"UT",,,"UT",,,"Single","UT"
"αCD20-TCB 1 nM",,,"αCD20-TCB 1 nM",,,"Single","αCD20-TCB"
"αCD20-TCB 10 nM",,,"αCD20-TCB 10 nM",,,"Single","αCD20-TCB"
"αCD19-41BBL 0,1795 µg/mL",,,"αCD19-41BBL 0,1795 µg/mL",,,"Single","Co_Activator"
"αCD20-TCB 1 nM","αCD19-41BBL 0,1795 µg/mL",,"αCD20-TCB 1 nM","αCD19-41BBL 0,1795 µg/mL",,"Combo",
"αCD20-TCB 10 nM","αCD19-41BBL 0,1795 µg/mL",,"αCD20-TCB 10 nM","αCD19-41BBL 0,1795 µg/mL",,"Combo",
"αPD1-ct 1 µg/mL",,,"αPD1-ct 1 µg/mL",,,"Single","Inhibiteur_CP"
"αCD79-MMAE 1 µg/mL",,,"αCD79-MMAE 1 µg/mL",,,"Single","ADC"
"αCD79-MMAE 1 µg/mL","αCD20-TCB 1 nM",,"αCD20-TCB 1 nM","αCD79-MMAE 1 µg/mL",,"Combo",
"αCD79-MMAE 1 µg/mL","αCD20-TCB 10 nM",,"αCD20-TCB 10 nM","αCD79-MMAE 1 µg/mL",,"Combo",
"αCD79-MMAE 1 µg/mL","αTIGIT 1 µg/mL",,"αCD79-MMAE 1 µg/mL","αTIGIT 1 µg/mL",,"Combo",
"αCD79-MMAE 1 µg/mL","αTIGIT 10 µg/mL",,"αCD79-MMAE 1 µg/mL","αTIGIT 10 µg/mL",,"Combo",
"αCD79-ct 1 µg/mL",,,"αCD79-ct 1 µg/mL",,,"Single","ADC"
"αCD79-ct 1 µg/mL","αCD20-TCB 1 nM",,"αCD20-TCB 1 nM","αCD79-ct 1 µg/mL",,"Combo",
"αCD79-ct 1 µg/mL","αCD20-TCB 10 nM",,"αCD20-TCB 10 nM","αCD79-ct 1 µg/mL",,"Combo",
"αPD1-ct 1 µg/mL","αTIGIT 1 µg/mL",,"αPD1-ct 1 µg/mL","αTIGIT 1 µg/mL",,"Combo",
"αPD1-ct 1 µg/mL","αTIGIT 10 µg/mL",,"αPD1-ct 1 µg/mL","αTIGIT 10 µg/mL",,"Combo",
